threshold,detection_rate,impact_ratio,precision,recall,f1_score
0.2240670615919965,0.2,3.5554298910408986,0.22125813448543907,0.44155844153932644,0.29479768340510043
0.2271615521694629,0.19002169197396962,3.6490367961784966,0.23059360730067138,0.43722943721050955,0.30194319427385324
0.23073200763536933,0.18004338394793926,3.5934059130678637,0.23132530119924516,0.4155844155664249,0.29721361768745985
0.2351045943761656,0.1700650759219089,3.7084428125632174,0.2423469387693279,0.411255411237608,0.304975918277583
0.23941800237567737,0.16008676789587853,3.6956786083948434,0.24661246611797796,0.3939393939223403,0.3033333285877223
0.24184043928595897,0.15010845986984817,3.769657050142451,0.2514450866979351,0.37662337660707257,0.30155978721589294
0.24870504207281224,0.14013015184381777,3.8644371429706834,0.2600619194965925,0.3636363636206218,0.3032490925998645
0.25322207382532375,0.1301518438177874,4.064833340243803,0.2666666666577778,0.3463203463053541,0.30131826249303983
0.2594476513533564,0.12017353579175705,4.155218152939988,0.27075812273390765,0.32467532466126947,0.2952755855805537
0.26602417068276984,0.11019522776572668,4.25401983715625,0.2874015747918346,0.3160173160036356,0.3010309228338825
0.2714228112590899,0.1002169197396963,4.403162033877152,0.3030303030171848,0.3030303030171848,0.30303029801718484
0.2778956104082562,0.09023861171366594,4.643073580256276,0.31249999998497596,0.2813852813731002,0.29612755764260257
0.2858915004635872,0.08026030368763558,4.827013284433715,0.3135135134965668,0.2510822510713817,0.27884614889388415
0.2929239135731379,0.0702819956616052,4.729633632702309,0.30864197528959,0.2164502164408463,0.2544529213498307
0.3017107662507932,0.06030368763557484,5.039007625897249,0.3237410071709539,0.19480519479676167,0.24324323853922578
0.3195257835340075,0.05032537960954447,5.033356767458856,0.3275862068683115,0.16450216449504318,0.21902016844720917
0.33003864945914696,0.040347071583514096,5.742634293168985,0.3763440859810383,0.1515151515085924,0.21604937860977752
0.3512104553898242,0.03036876355748373,6.245235681235238,0.3999999999428572,0.12121212120687393,0.18604650804604808
0.39150488680995615,0.020390455531453362,7.790973006951947,0.44680851054323223,0.09090909090515545,0.15107913387014132
0.4305716418067379,0.010412147505422993,5.161750643570605,0.41666666649305556,0.04329004328816926,0.07843137083767784
